poi_id,name,geometry,lat,lon,category,demand,method,centroid_lon,centroid_lat,dist_to_centroid_m
3490,,POINT (-3.206061368929163 55.95887790803871),55.95887791,-3.206061369,residential,1.224170910045604e-06,kmeans_snap,-3.2060744566242203,55.95937512299497,55.293563892032466
226,,POINT (-3.181552329393878 55.9388642843853),55.93886428,-3.181552329,residential,7501.996455396937,kmeans_snap,-3.1814948261548275,55.93873757189957,14.537295976330098
4854,,POINT (-3.333380767619218 55.97039658419392),55.97039658,-3.333380768,residential,3913.0211333366487,kmeans_snap,-3.3331667384676793,55.970506688239425,18.090954577814014
4592,,POINT (-3.1656967500000013 55.968877549999995),55.96887755,-3.16569675,residential,8326.354211912603,kmeans_snap,-3.166704535182173,55.96916629186033,70.45456265666806
11632,,POINT (-3.1180641744792146 55.95767748025042),55.95767748,-3.118064174,residential,1.1797699857823556e-06,kmeans_snap,-3.1182271338479213,55.957632414699006,11.314066155464007
30306,,POINT (-3.2140236838670244 55.93950405532074),55.93950406,-3.214023684,residential,2700.87337473601,kmeans_snap,-3.214329815180044,55.940038767019274,62.438476469826966
437,Children's Beds Home,POINT (-3.299574297857734 55.929826979712224),55.92982698,-3.299574298,commercial,756.3866641898619,kmeans_snap,-3.298329664330441,55.927389639395514,281.89223899838197
184,Sugarhouse,POINT (-3.1799669737258958 55.951064492103846),55.95106449,-3.179966974,residential,1.1704507455694137e-06,kmeans_snap,-3.1800866865824835,55.95128522809415,25.651568618320216
18229,,POINT (-3.2377566 55.95624545),55.95624545,-3.2377566,residential,938.0772679968106,kmeans_snap,-3.2377831799255063,55.95622626390254,2.699827225114958
11144,,POINT (-3.1730091309723742 55.92455760385684),55.9245576,-3.173009131,residential,1.163489008194535e-06,kmeans_snap,-3.173553656976871,55.92371190816455,99.96888563223787
13776,,POINT (-3.096203426740664 55.94741514421538),55.94741514,-3.096203427,residential,1.7227902722200392e-06,kmeans_snap,-3.096312504736658,55.94724208451605,20.406252293788345
385,Cruise Liner Terminal,POINT (-3.1816283911102388 55.9804424470079),55.98044245,-3.181628391,commercial,4616.149665403827,kmeans_snap,-3.1802451428377125,55.97960709311358,126.62294686513715
33638,Chalmers Centre,POINT (-3.1983865832630407 55.944539668684115),55.94453967,-3.198386583,hospital,3142.4982250545054,kmeans_snap,-3.200001819106142,55.94446229905128,100.94589848951993
12798,,POINT (-3.3008531263948107 55.978959490243625),55.97895949,-3.300853126,residential,6740.345647973129,kmeans_snap,-3.3014116455482325,55.97901948102891,35.38181465289465
26315,,POINT (-3.270011057369892 55.94156952047428),55.94156952,-3.270011057,residential,1270.0561537260417,kmeans_snap,-3.271442900650307,55.94176765329673,91.8470227578685
6835,,POINT (-3.185891385051139 55.96362936727687),55.96362937,-3.185891385,commercial,5946.208883481525,kmeans_snap,-3.186489706098174,55.96370869580675,38.26863777294589
62,RBS,POINT (-3.1908096128639447 55.954513447898925),55.95451345,-3.190809613,commercial,8895.307360707302,kmeans_snap,-3.1918450956741484,55.95411033418245,78.51467274335756
16505,,POINT (-3.2187522951185024 55.94619327671181),55.94619328,-3.218752295,residential,13.155227118515677,kmeans_snap,-3.219711500043226,55.94596200182325,65.0273555414143
6251,,POINT (-3.1940431500000006 55.93794795),55.93794795,-3.19404315,residential,1.5245151475454293e-06,kmeans_snap,-3.1951389096755216,55.93854204672563,94.97914462925341
7527,,POINT (-3.209961896421211 55.9278217467616),55.92782175,-3.209961896,residential,4692.61173268366,kmeans_snap,-3.210142781252944,55.92777644768338,12.343047635279921
893,,POINT (-3.2084676561761194 55.97162087730612),55.97162088,-3.208467656,residential,5613.147622765195,kmeans_snap,-3.2086118444812683,55.97172140042778,14.332915251942557
248,,POINT (-3.185237705624293 55.9428420824414),55.94284208,-3.185237706,residential,1.7393955246317014e-06,kmeans_snap,-3.1857376128023067,55.94355651757417,85.3232431795504
138,Queen Margaret University,POINT (-3.0739691670053215 55.9309245867735),55.93092459,-3.073969167,university,1652.683936314374,kmeans_snap,-3.07241283042321,55.931945834482555,149.30948669999674
46,Lecture Theatre 3 (LT3),POINT (-3.3224258 55.9105456),55.9105456,-3.3224258,university,2.1241944157983583e-06,kmeans_snap,-3.322871080384443,55.90967771452187,100.41545985525907
32977,Royal Hospital for Children and Young People,POINT (-3.1390819177938605 55.92096285453292),55.92096285,-3.139081918,hospital,2473.8226437666995,kmeans_snap,-3.1391411972702263,55.92118720118154,25.218648869747938
22917,,POINT (-3.2322651756214085 55.9277847558429),55.92778476,-3.232265176,residential,1777.1394510360992,kmeans_snap,-3.2322877171305593,55.92778460220947,1.4043218196076297
22155,,POINT (-3.246623349148042 55.94484892584707),55.94484893,-3.246623349,residential,1.460714090583408e-06,kmeans_snap,-3.2466391718837566,55.94475821615432,10.134924036555917
6874,,POINT (-3.1967871499999996 55.96406225),55.96406225,-3.19678715,residential,9.981041003429447e-07,kmeans_snap,-3.197425868982903,55.96337169972354,86.46559483572193
29273,,POINT (-3.2209305546897578 55.941319587810995),55.94131959,-3.220930555,residential,5488.236129029141,kmeans_snap,-3.2219695628062954,55.94084234477606,83.68188046559123
482,,POINT (-3.1799712487582905 55.96155489949197),55.9615549,-3.179971249,commercial,5975.622753563981,kmeans_snap,-3.180439778954733,55.96111066660254,57.36235658302457
8609,,POINT (-3.2074646862923095 55.945876995891666),55.945877,-3.207464686,commercial,1.8675928862037442e-06,kmeans_snap,-3.2070484124084953,55.94568116722363,33.85293346668405
6468,,POINT (-3.2041278841361325 55.952589692214936),55.95258969,-3.204127884,commercial,1.9222649935665767e-06,kmeans_snap,-3.203877139635477,55.95211933922883,54.580563815593315
598,,POINT (-3.220129299081528 55.95357018118696),55.95357018,-3.220129299,residential,1.5212861734934635e-06,kmeans_snap,-3.2189415300256528,55.95239227330758,150.4089247752218
32479,,POINT (-3.0626740692208076 55.943549027506435),55.94354903,-3.062674069,commercial,345.51627035179854,kmeans_snap,-3.0642437773954407,55.94387664230002,104.31333930749962
25506,,POINT (-3.234812356695303 55.96403612631145),55.96403613,-3.234812357,residential,1078.428554065989,kmeans_snap,-3.234317948612468,55.9631601487049,102.14951649837602
4617,,POINT (-3.2069964500000006 55.935959950000004),55.93595995,-3.20699645,residential,1.5309163100976651e-06,kmeans_snap,-3.207981138499402,55.93573661420439,66.16614053530354
6350,,POINT (-3.176629165090549 55.965319916111646),55.96531992,-3.176629165,commercial,7463.631704989713,kmeans_snap,-3.1769026764725252,55.96537527379768,18.10067003928826
474,,POINT (-3.187567527344581 55.958726023215014),55.95872602,-3.187567527,residential,1.1428394714586194e-06,kmeans_snap,-3.1869324053220085,55.95907931993474,55.73347125678058
35,Central Children's Library,POINT (-3.1924454 55.9484985),55.9484985,-3.1924454,library,1.772356553603747e-06,kmeans_snap,-3.193299559484702,55.94848496126358,53.20320470741619
13500,,POINT (-3.1910491113997996 55.97598853576265),55.97598854,-3.191049111,residential,2542.9293515201643,kmeans_snap,-3.1911150290812293,55.97594632983896,6.232984485497013
13081,,POINT (-3.306955191751504 55.96886191228942),55.96886191,-3.306955192,residential,711.109560385022,kmeans_snap,-3.30685399504979,55.9687869559169,10.446142664841842
489,,POINT (-3.1743895999999996 55.978107550000004),55.97810755,-3.1743896,commercial,19922.56535294174,kmeans_snap,-3.173772118779841,55.977598809508294,68.38076752845743
306,,POINT (-3.3208250296344475 55.9378977539626),55.93789775,-3.32082503,commercial,1.012145798310535e-06,kmeans_snap,-3.3201964453097306,55.93882652580632,110.44579030133293
427,Preston Street Primary School,POINT (-3.176298934880774 55.939876857438826),55.93987686,-3.176298935,school,98.9496478007114,kmeans_snap,-3.174395307800566,55.93979049917905,118.93892798338535
32161,,POINT (-3.328470108540487 55.980616370543224),55.98061637,-3.328470109,residential,3786.8145058138357,kmeans_snap,-3.328470109,55.98061637,0.0
10013,,POINT (-3.235594450266259 55.94461089937471),55.9446109,-3.23559445,residential,1601.176562051192,kmeans_snap,-3.2343380303187854,55.94487015240981,83.37721594120185
395,Abbeymount Techbase,POINT (-3.172376313207843 55.956839320869925),55.95683932,-3.172376313,commercial,1.34254309815219e-06,kmeans_snap,-3.173532775772495,55.95641030938465,86.35999865275065
153,,POINT (-3.187007465639212 55.94683192788712),55.94683193,-3.187007466,university,9006.690907667196,kmeans_snap,-3.186354684529913,55.94663155433203,46.35179266467117
30874,,POINT (-3.217814757958806 55.95985876748236),55.95985877,-3.217814758,residential,1.3150167488294099e-06,kmeans_snap,-3.217196867998321,55.95902169526991,100.71146351241647
32868,,POINT (-3.2515805074863495 55.93875251782255),55.93875252,-3.251580507,commercial,2146.639744949677,kmeans_snap,-3.2513794148178237,55.93896356318157,26.599560785419495
